Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Piazza Pizza By Little Italy,Pizza,3.9,₹200 for two,2.5 km,"Tajganj, Agra",Agra
Marleys  The Milkshake,"Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich",3.7,₹400 for two,3.7 km,"Tajganj, Agra",Agra
Molecule Air Bar,"North Indian, Chinese, Continental, Italian",4.6,"₹2,000 for two",4.8 km,"Tajganj, Agra",Agra
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food",4.9,"₹1,800 for two",3.8 km,"Tajganj, Agra",Agra
Palm Burj,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts",4.5,"₹2,200 for two",1.9 km,"Rakabganj, Agra",Agra
Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee",4.4,"₹1,600 for two",4.8 km,"Tajganj, Agra",Agra
Hichkee,"Continental, North Indian, Chinese",4.2,"₹1,700 for two",1.2 km,"Civil Lines, Agra",Agra
The Numberdaars,"Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",4,₹800 for two,6.8 km,"Sikandra, Agra",Agra
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.4,"₹1,550 for two",2.5 km,"Civil Lines, Agra",Agra
The Nawaabs,"Mughlai, North Indian, Biryani, Kebab, Beverages",4.3,"₹1,100 for two",2.7 km,"Tajganj, Agra",Agra
Oasis - Radisson Hotel Agra,"North Indian, Continental, Beverages",4.1,"₹2,700 for two",4.1 km,"Radisson Hotel Agra, Tajganj, Agra",Agra
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,"₹1,000 for two",3 km,"Civil Lines, Agra",Agra
Masala Bistro,"Chinese, North Indian, Rolls, Kebab, Fast Food",3.7,₹350 for two,2.8 km,"Tajganj, Agra",Agra
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian",4.4,"₹3,000 for two",2.6 km,"Civil Lines, Agra",Agra
Downtown Cafe,"North Indian, Mughlai, Continental, Chinese, Beverages, Desserts",4.9,"₹1,600 for two",1.4 km,"Rakabganj, Agra",Agra
Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai",4.5,"₹1,600 for two",3.2 km,"Tajganj, Agra",Agra
Cosmos Cafe & Bar - Fairfield By Marriott,"Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.4,"₹2,400 for two",2.6 km,"Civil Lines, Agra",Agra
My Bar Headquarters,"North Indian, Chinese, Pizza, Fast Food, Desserts",New,"₹1,200 for two",3.1 km,"Khandari, Agra",Agra
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra",Agra
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",3.9,"₹1,100 for two",3.6 km,"Tajganj, Agra",Agra
Two Saints Bar & Kitchen,"North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts",4.3,"₹1,800 for two",2.4 km,"Tajganj, Agra",Agra
Urban Deck,"Mexican, Italian, North Indian",4.2,"₹2,200 for two",2.7 km,"Civil Lines, Agra",Agra
The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts",4.4,"₹2,400 for two",2.7 km,"Civil Lines, Agra",Agra
Ek Number-Twisted Indian Cafe,"Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages",3.8,"₹1,200 for two",3.4 km,"Civil Lines, Agra",Agra
Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages",4.6,"₹1,300 for two",2.7 km,"Civil Lines, Agra",Agra
NU-CLER,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food",4.3,"₹2,000 for two",1.8 km,"Civil Lines, Agra",Agra
MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian",4.5,"₹3,000 for two",4.8 km,"Courtyard by Marriott Agra, Tajganj, Agra",Agra
Folks Pub,"North Indian, Chinese",4.1,"₹1,400 for two",3.4 km,"Civil Lines, Agra",Agra
Pind Balluchi,"Mughlai, North Indian",3.9,"₹1,000 for two",6.2 km,"Sikandra, Agra",Agra
Thaliwala Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.5,₹800 for two,3.4 km,"Tajganj, Agra",Agra
Beep,"North Indian, Chinese, Continental, Pizza, Pasta",4.4,"₹1,200 for two",2.4 km,"Rakabganj, Agra",Agra
Djlecious,"Bakery, Desserts, Beverages",4,₹400 for two,3.3 km,"Civil Lines, Agra",Agra
Mama Chicken Mama Franky House,"North Indian, Mughlai, Rolls, Burger, Momos",4.1,"₹1,000 for two",2.2 km,"Agra Cantt, Agra",Agra
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.6,₹500 for two,3 km,"Khandari, Agra",Agra
La Pino'z Pizza,"Pizza, Pasta, Italian, Fast Food",3.3,₹500 for two,3.1 km,"Tajganj, Agra",Agra
Momocult,"Momos, Chinese, Fast Food",3.8,₹200 for two,2.7 km,"Civil Lines, Agra",Agra
Pizza Hut,"Pizza, Fast Food, Desserts, Beverages",3.9,"₹1,000 for two",2.4 km,"Agra Cantt, Agra",Agra
Bistro 57,"Cafe, Pasta, Pizza, Burger, Coffee, Fast Food",3.9,₹600 for two,3.3 km,"Civil Lines, Agra",Agra
Tease Me - Rooftop Cafe,"Italian, North Indian, Fast Food",4.3,"₹1,500 for two",2.2 km,"Tajganj, Agra",Agra
McDonald's,"Burger, Fast Food, Beverages, Cafe",4,₹500 for two,2.7 km,"Civil Lines, Agra",Agra
Fat Tiger,"North Indian, Rolls, Momos, Desserts, Shake, Coffee, Beverages",3.6,"₹1,100 for two",3.1 km,"Civil Lines, Agra",Agra
La' Chef Multicuisine Restaurant,"North Indian, Chinese, Kebab, South Indian, Continental, Ice Cream, Beverages",-,"₹1,200 for two",7.2 km,"Sikandra, Agra",Agra
Lord Of The Drinks,"European, Chinese, North Indian, Italian",4.1,"₹1,800 for two",4.8 km,"Tajganj, Agra",Agra
Ghoomar Traditional Thali Restaurant,"North Indian, Rajasthani",3.3,"₹1,000 for two",4 km,"Khandari, Agra",Agra
Hotel Moti Palace - Pankhuri Restaurant,"North Indian, Chinese, Continental, South Indian, Desserts, Beverages",4.2,"₹1,000 for two",1.4 km,"Rakabganj, Agra",Agra
Dasaprakash,"South Indian, North Indian, Continental, Chinese, Beverages",3.8,₹800 for two,4.8 km,"Tajganj, Agra",Agra
The Ivory Kitchen,"North Indian, Chinese, Pasta, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,"₹1,100 for two",2.5 km,"Agra Cantt, Agra",Agra
Spiced Brew,"Cafe, Continental, Burger, Sandwich, Fast Food, Beverages, Salad, Healthy Food",4.9,₹800 for two,3.6 km,"Khandari, Agra",Agra
Fat Boys Cafe,"Sandwich, Pizza, Fast Food, Chinese, Momos, Pancake, Shake, Beverages",3.7,₹400 for two,2.3 km,"Agra Cantt, Agra",Agra
Haldiram's,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai, Beverages",4.2,₹400 for two,4 km,"Khandari, Agra",Agra
Newcastle Cafe & Restaurant,"North Indian, Fast Food, Chinese, Kebab, Sushi, Seafood, Pizza, Pasta",4.4,"₹1,100 for two",5.8 km,"Sikandra, Agra",Agra
Food Adda,"Burger, Pizza, Sandwich, Fast Food, Desserts, Beverages",3.9,₹400 for two,5.4 km,"Khandari, Agra",Agra
The Mud Cafe,"Sandwich, Momos, Burger, Fast Food, Beverages, Desserts",3.3,₹700 for two,2.6 km,"Civil Lines, Agra",Agra
Raj Rasoi,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake",4.2,₹600 for two,2.6 km,"Civil Lines, Agra",Agra
Sour N Spicy,"North Indian, Chinese, Street Food, Beverages, Desserts",3.9,"₹1,000 for two",2.2 km,"Tajganj, Agra",Agra
Bellevue - The Oberoi Amarvilas,"North Indian, Continental, Desserts",4.2,"₹4,500 for two",3.3 km,"The Oberoi Amarvilas, Tajganj, Agra",Agra
North 27,"North Indian, Chinese, Continental, Oriental, Fast Food, Mughlai, Beverages, Desserts",4,"₹3,800 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra",Agra
Delhi 6,"North Indian, Street Food",4.1,₹150 for two,2.7 km,"Civil Lines, Agra",Agra
Bhagat Halwai,"Mithai, Street Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",4.1,₹300 for two,3.3 km,"Civil Lines, Agra",Agra
The Curry Station,"North Indian, Chinese, Mughlai",3.9,₹600 for two,3.2 km,"Lohamandi, Agra",Agra
Chokho Jeeman Marwari Jain Bhojanalya,Rajasthani,4.3,₹400 for two,2.7 km,"Civil Lines, Agra",Agra
Hotel Orange,"Chinese, North Indian, Mughlai, Biryani, Desserts, Beverages",4.6,"₹1,200 for two",1.8 km,"Rakabganj, Agra",Agra
Lattice - Grand Mercure (An Accor Hotel),"North Indian, Continental, Chinese",3.9,"₹1,000 for two",3.8 km,"Crystal Sarovar Premier, Tajganj, Agra",Agra
Domino's Pizza,"Pizza, Italian, Pasta, Fast Food, Desserts",3.9,₹500 for two,2.7 km,"Civil Lines, Agra",Agra
Xero Degrees,"Cafe, Coffee, Beverages, Continental, Sandwich, Fast Food, Salad, Waffle",3.2,"₹1,000 for two",3.1 km,"Khandari, Agra",Agra
Azuri,"North Indian, Chinese, Italian, Fast Food, Juices, Beverages",-,₹700 for two,3.5 km,"Kamla Nagar, Agra",Agra
Sky Train Restaurant,"North Indian, Chinese, Fast Food, Beverages",4.1,₹800 for two,7 km,"Sikandra, Agra",Agra
New Pizza King,"Pizza, Fast Food",3.8,₹500 for two,4.1 km,"Dayal Bagh, Agra",Agra
UP 80 Resturant,"North Indian, Chinese, South Indian, Fast Food",3.9,₹200 for two,5.8 km,"Dayal Bagh, Agra",Agra
GMB - Gopika Sweets & Restaurant,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.8,₹500 for two,2.7 km,"Tajganj, Agra",Agra
AAAAR RESTRO,"Pizza, Fast Food",3.3,₹300 for two,3.7 km,"Kamla Nagar, Agra",Agra
Aahar,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",4,₹700 for two,2.7 km,"Civil Lines, Agra",Agra
Bikaner Express,"North Indian, South Indian, Chinese, Street Food, Beverages",3.5,₹600 for two,3.6 km,"Kamla Nagar, Agra",Agra
Achman Foods,"North Indian, South Indian, Street Food, Desserts, Beverages",4.1,₹400 for two,3.7 km,"Khandari, Agra",Agra
