Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Piazza Pizza By Little Italy,Pizza,3.9,100.0,2.5,"Tajganj, Agra",Agra
Marleys  The Milkshake,"Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich",3.7,200.0,3.7,"Tajganj, Agra",Agra
Molecule Air Bar,"North Indian, Chinese, Continental, Italian",4.6,1000.0,4.8,"Tajganj, Agra",Agra
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food",4.9,900.0,3.8,"Tajganj, Agra",Agra
Palm Burj,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts",4.5,1100.0,1.9,"Rakabganj, Agra",Agra
Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee",4.4,800.0,4.8,"Tajganj, Agra",Agra
Hichkee,"Continental, North Indian, Chinese",4.2,850.0,1.2,"Civil Lines, Agra",Agra
The Numberdaars,"Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",4.0,400.0,6.8,"Sikandra, Agra",Agra
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.4,775.0,2.5,"Civil Lines, Agra",Agra
The Nawaabs,"Mughlai, North Indian, Biryani, Kebab, Beverages",4.3,550.0,2.7,"Tajganj, Agra",Agra
Oasis - Radisson Hotel Agra,"North Indian, Continental, Beverages",4.1,1350.0,4.1,"Radisson Hotel Agra, Tajganj, Agra",Agra
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,500.0,3.0,"Civil Lines, Agra",Agra
Masala Bistro,"Chinese, North Indian, Rolls, Kebab, Fast Food",3.7,175.0,2.8,"Tajganj, Agra",Agra
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian",4.4,1500.0,2.6,"Civil Lines, Agra",Agra
Downtown Cafe,"North Indian, Mughlai, Continental, Chinese, Beverages, Desserts",4.9,800.0,1.4,"Rakabganj, Agra",Agra
Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai",4.5,800.0,3.2,"Tajganj, Agra",Agra
Cosmos Cafe & Bar - Fairfield By Marriott,"Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.4,1200.0,2.6,"Civil Lines, Agra",Agra
My Bar Headquarters,"North Indian, Chinese, Pizza, Fast Food, Desserts",3.374251,600.0,3.1,"Khandari, Agra",Agra
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,3000.0,3.2,"ITC Mughal, Tajganj, Agra",Agra
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",3.9,550.0,3.6,"Tajganj, Agra",Agra
Two Saints Bar & Kitchen,"North Indian, Bar Food, Oriental, Continental, Italian, Chinese, Mexican, Desserts",4.3,900.0,2.4,"Tajganj, Agra",Agra
Urban Deck,"Mexican, Italian, North Indian",4.2,1100.0,2.7,"Civil Lines, Agra",Agra
The Wok Bar,"Asian, Japanese, Sushi, Thai, Korean, Desserts",4.4,1200.0,2.7,"Civil Lines, Agra",Agra
Ek Number-Twisted Indian Cafe,"Chinese, North Indian, Continental, Mughlai, Italian, Kebab, Desserts, Beverages",3.8,600.0,3.4,"Civil Lines, Agra",Agra
Made In Punjab,"North Indian, Mughlai, Biryani, Rolls, Chinese, Desserts, Beverages",4.6,650.0,2.7,"Civil Lines, Agra",Agra
NU-CLER,"North Indian, Oriental, Asian, Mediterranean, Italian, Biryani, Fast Food",4.3,1000.0,1.8,"Civil Lines, Agra",Agra
MoMo Cafe - Courtyard By Marriott,"North Indian, Fast Food, Continental, Beverages, Asian",4.5,1500.0,4.8,"Courtyard by Marriott Agra, Tajganj, Agra",Agra
Folks Pub,"North Indian, Chinese",4.1,700.0,3.4,"Civil Lines, Agra",Agra
Pind Balluchi,"Mughlai, North Indian",3.9,500.0,6.2,"Sikandra, Agra",Agra
Thaliwala Pure Veg Restaurant,"North Indian, Chinese, Beverages",3.5,400.0,3.4,"Tajganj, Agra",Agra
Beep,"North Indian, Chinese, Continental, Pizza, Pasta",4.4,600.0,2.4,"Rakabganj, Agra",Agra
Djlecious,"Bakery, Desserts, Beverages",4.0,200.0,3.3,"Civil Lines, Agra",Agra
Mama Chicken Mama Franky House,"North Indian, Mughlai, Rolls, Burger, Momos",4.1,500.0,2.2,"Agra Cantt, Agra",Agra
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.6,250.0,3.0,"Khandari, Agra",Agra
