Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
UK Restaurants And Kitchens,"North Indian, Chinese, Biryani, Kebab",3.6,₹500 for two,4.5 km,"Mangal City Mall, Vijay Nagar, Indore",Indore
Dopamine,"Asian, North Indian, Continental, Italian, Bar Food, Pizza, Sushi, Salad",4.5,"₹1,500 for two",5.3 km,"Vijay Nagar, Indore",Indore
Epicentre - The Park,"Continental, Salad, Chinese, Asian, Italian, North Indian, Desserts, Beverages",4.2,"₹3,500 for two",8 km,"The Park, Indore",Indore
House Of Malts,"North Indian, Chinese, Continental, Italian, Oriental, Bar Food, Beverages",3.8,"₹1,000 for two",5.6 km,"Vijay Nagar, Indore",Indore
The Piano Project,"North Indian, Mughlai, Kebab, Biryani, Beverages",4.5,"₹2,000 for two",4.9 km,"Vijay Nagar, Indore",Indore
Aqua - The Park,"North Indian, Asian, Continental, Oriental",4.5,"₹2,200 for two",8 km,"The Park, Indore",Indore
Kabelo Veg Barbecues,"North Indian, Salad, Desserts, Beverages",4.3,"₹1,200 for two",4.5 km,"Vijay Nagar, Indore",Indore
Flame By Fire & Smoke,"North Indian, Chinese, Seafood, Biryani, Oriental, Desserts",4.4,"₹1,000 for two",4.2 km,"Vijay Nagar, Indore",Indore
Cream Centre,"North Indian, Chinese, Italian, Mexican, Fast Food, Ice Cream, Shake, Beverages",4.2,"₹1,400 for two",4.6 km,"Vijay Nagar, Indore",Indore
Cravings - Sayaji Hotel,"North Indian, Chinese, Italian, Beverages",4.5,"₹1,800 for two",4.4 km,"Sayaji Hotel, Vijay Nagar, Indore",Indore
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.3,"₹1,500 for two",2.3 km,"South Tukoganj, Indore",Indore
The Creative Kitchen - Radisson Blu Hotel,"North Indian, Continental, Chinese, Asian, Desserts",4,"₹2,500 for two",5.5 km,"Radisson Blu Hotel, Vijay Nagar, Indore",Indore
Fire & Smoke,"North Indian, Mughlai, Continental",4.9,"₹2,200 for two",8.9 km,"By Pass Road (North), Indore",Indore
Revolution Indore,"North Indian, Continental, Fast Food, Pizza, Burger, Sandwich, Italian, Beverages",4.1,"₹2,000 for two",4.9 km,"Vijay Nagar, Indore",Indore
The Cube - Hotel Effotel,"North Indian, Mughlai, Asian, Biryani, Desserts",4.9,"₹1,200 for two",5.5 km,"Hotel Effotel, Vijay Nagar, Indore",Indore
Chopstick City - Sayaji Hotel,"Chinese, Asian, Beverages, Desserts",4.7,"₹1,800 for two",4.4 km,"Sayaji Hotel, Vijay Nagar, Indore",Indore
Municipal,"North Indian, Continental",4.2,"₹1,500 for two",5.1 km,"Mangal City Mall, Vijay Nagar, Indore",Indore
Mama Loca,"Pizza, Pasta, Italian, Continental, Shawarma, Middle Eastern, Lebanese, Greek",4.2,"₹1,000 for two",2.8 km,"New Palasia, Indore",Indore
Indore Kitchen - Indore Marriott Hotel,"North Indian, Asian",4.2,"₹2,000 for two",4.2 km,"Indore Marriott Hotel, Vijay Nagar, Indore",Indore
The Ashoka Hotel And Multi-Cuisine Restaurant,"North Indian, Chinese, Continental, Fast Food, Street Food, Salad, Shake, Beverages",4.2,₹700 for two,4.5 km,"Vijay Nagar, Indore",Indore
Punjab Grill,"North Indian, Mughlai, Kebab, Biryani, Desserts",4.5,"₹2,500 for two",8.4 km,"By Pass Road (North), Indore",Indore
Ni Hao - Radisson Blu Hotel,"Asian, Chinese, Thai, Desserts",4.4,"₹3,600 for two",5.5 km,"Radisson Blu Hotel, Vijay Nagar, Indore",Indore
