Restaurent name,Cuisine types,Rating,Price,Distance,Location
M E A Cafe And Restaurant,"North Indian, Chinese, BBQ, Fast Food, Beverages, Ice Cream",4.2,"₹1,200 for two",2.7 km,"Indira Nagar, Lucknow"
Cafè 1991,"Coffee, Chinese, Fast Food, Desserts",4.5,₹700 for two,4.5 km,"Gomti Nagar, Lucknow"
Bigg Daddy,"North Indian, Mughlai, Continental, Chinese, Italian, Kebab, Biryani, Fast Food",4.3,"₹2,000 for two",6 km,"Cyber Heights, Gomti Nagar, Lucknow"
Remix Veg Food Hall,"North Indian, Fast Food, Chinese, Desserts, South Indian, Modern Indian, Salad, Pasta",3.6,₹300 for two,5.8 km,"Gomti Nagar, Lucknow"
Boombox Bar Xchange,"North Indian, Chinese, Continental, Asian, Biryani, Italian, Desserts, Beverages",4.3,"₹2,000 for two",6.1 km,"Summit Building, Gomti Nagar, Lucknow"
The Big Grill,"Chinese, Salad, North Indian, Oriental, Desserts, Beverages",4.6,"₹2,000 for two",8.7 km,"Phoenix Plassio Mall, Lucknow"
Tanatan,"North Indian, Lucknowi, Desserts, Beverages",4.6,"₹2,500 for two",2.3 km,"Hazratganj, Lucknow"
Rominus Pizza And Burger,"Pizza, Burger, Fast Food",4.1,₹400 for two,1.7 km,"Hazratganj, Lucknow"
Molecule Air Bar,"North Indian, Continental, Asian, Finger Food, Desserts, Beverages",4.4,"₹1,800 for two",2.6 km,"Riverside Mall, Gomti Nagar, Lucknow"
Chinese Wok,Chinese,3.4,₹400 for two,7.2 km,"Gomti Nagar, Lucknow"
The Oven,"Pizza, Fast Food",4.1,₹200 for two,3.9 km,"Sadar Bazaar, Lucknow"
Vint Club,"Chinese, Continental, Italian, Sushi, Beverages, Asian, Fast Food, Desserts",4.3,"₹1,000 for two",9.3 km,"Gomti Nagar, Lucknow"
Que,"North Indian, Continental, Chinese, Finger Food, Italian, Fast Food, Desserts, Beverages",4.5,"₹1,000 for two",4.6 km,"Gomti Nagar, Lucknow"
Tickled Pink,"North Indian, Continental, Thai, Pizza, Turkish, Desserts, Beverages, Coffee",4.5,"₹2,000 for two",5.7 km,"Gomti Nagar, Lucknow"
The Burger's Castle,"Burger, Wraps, Sandwich, Fast Food, Street Food, Coffee, Shake, Beverages",3.1,₹300 for two,1.3 km,"Nirala Nagar, Lucknow"
WOW! China,"Chinese, Oriental, Asian, Sichuan, Seafood, Momos",3.2,₹700 for two,5 km,"Jankipuram, Lucknow"
Chili's Grill & Bar,"Tex-Mex, American, Mexican, BBQ, Continental, Burger, Salad, Beverages",4.7,"₹1,000 for two",9.7 km,"Lulu Mall, Lucknow"
Togo's Momo,"Momos, Chinese",4.2,₹300 for two,8.4 km,"Aashiana, Lucknow"
Sky Glass Brewing Co.,"Bar Food, Italian, Chinese, Desserts, Beverages",4.9,"₹1,800 for two",5.2 km,"Phoenix Plassio Mall, Lucknow"
Panorama Terrace,"North Indian, Chinese, Italian, Street Food, Biryani, Mughlai, Tea",3.7,"₹1,000 for two",4.2 km,"Khurram Nagar, Lucknow"
Rail Coach Restaurant,"North Indian, South Indian, Mughlai, Chinese, Fast Food, Biryani, Desserts, Beverages",-,"₹1,200 for two",4.4 km,"Kanpur Road, Lucknow"
Turkish Delight Restaurant,"Shawarma, Chinese, North Indian, Fast Food",3.9,₹350 for two,2.9 km,"Khurram Nagar, Lucknow"
The Waffle Co.,"Waffle, Pancake, Desserts, Shake, Beverages",3.9,₹200 for two,6 km,"Antas Mall, Gomti Nagar, Lucknow"
Mashup Cafe & Bar,"North Indian, Chinese, Mughlai, Italian, Continental, Pizza, Desserts",4.3,"₹1,200 for two",6.1 km,"Summit Building, Gomti Nagar, Lucknow"
Nainital Chinese,"Chinese, Momos, Rolls",3.9,₹250 for two,7 km,"Gomti Nagar, Lucknow"
Eight,"Asian, Japanese, Sushi, Chinese",4.5,"₹2,000 for two",8.8 km,"Phoenix Plassio Mall, Lucknow"
Food Paradise,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.5,₹450 for two,7.7 km,"Aliganj, Lucknow"
Cafe Andheri West,"North Indian, Mughlai, Chinese, Biryani, Pizza, Fast Food, Beverages",3.6,₹600 for two,3.7 km,"Khurram Nagar, Lucknow"
Center Point Restaurant,"North Indian, Chinese",4.0,₹300 for two,6 km,"Gomti Nagar, Lucknow"
Skyhilton,"North Indian, Chinese, Continental, Oriental, Kebab, Fast Food, Desserts, Beverages",4.4,"₹1,800 for two",8.7 km,"Alambagh, Lucknow"
Hooters,"Burger, Pizza, Chinese, Continental",3.5,₹300 for two,11 km,"Aashiana, Lucknow"
Shawarma Wala,"Shawarma, Fast Food",3.8,₹300 for two,5.1 km,"Aliganj, Lucknow"
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages",3.8,₹550 for two,9 km,"Phoenix United Mall, Alambagh, Lucknow"
Furrytales Cafe,"Beverages, Street Food, Fast Food, Chinese, Ice Cream",2.6,₹350 for two,4.5 km,"Gomti Nagar, Lucknow"
Black Brew House,"North Indian, Continental, Italian, Asian, Fast Food, Beverages, Desserts",4.2,"₹1,400 for two",6.1 km,"Summit Building, Gomti Nagar, Lucknow"
Roastery Coffee House,"Cafe, American, Continental, Italian, Pizza, Fast Food, Desserts, Beverages",4.6,₹950 for two,5 km,"Gomti Nagar, Lucknow"
Get Your Burger,"Burger, Sandwich, Fast Food, Street Food, Coffee, Shake, Beverages",3.5,₹400 for two,7.2 km,"Sadar Bazaar, Lucknow"
Punjab Grill,"North Indian, Mughlai, Kebab, Biryani, Desserts",4.6,"₹2,500 for two",8.8 km,"Gomti Nagar, Lucknow"
Masaki Cafe Couture,"Bakery, Italian, Mexican, Fast Food, Asian, Desserts, Juices, Beverages",4.3,"₹1,200 for two",1.7 km,"Hazratganj, Lucknow"
Royal Train Cuisine - RTC,"North Indian, South Indian",3.0,"₹1,000 for two",5.3 km,"Gomti Nagar, Lucknow"
MERAKI the Bistro,"North Indian, Chinese, Italian, Pizza, Continental, Biryani, Desserts, Bar Food",New,"₹1,600 for two",9.9 km,"Gomti Nagar, Lucknow"
10th Goodness,"Pizza, Bakery, Fast Food, Beverages",3.7,₹250 for two,8.3 km,"Gomti Nagar, Lucknow"
Ishaara,"North Indian, Mughlai, Seafood, Biryani, Pizza, Fast Food, Street Food, Desserts",4.5,"₹2,000 for two",8.8 km,"Phoenix Plassio Mall, Lucknow"
Purple Basil,"North Indian, Sandwich, Pizza, Sushi, Italian, Fast Food, Mexican, Salad",4.4,"₹1,100 for two",9.2 km,"Gomti Nagar, Lucknow"
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.3,"₹1,900 for two",3.3 km,"Aliganj, Lucknow"
Mamagoto,"Asian, Sushi, Japanese, Thai, Chinese, Salad, Desserts",4.6,"₹1,800 for two",2.6 km,"Riverside Mall, Gomti Nagar, Lucknow"
The Terrace,"North Indian, Pizza, Salad, Fast Food, Street Food, Desserts, Beverages",4.0,"₹1,700 for two",1.6 km,"Hazratganj, Lucknow"
Fashiontv Cafe,"Cafe, Coffee, Pizza, Fast Food, Continental, Beverages",New,"₹1,000 for two",6 km,"Gomti Nagar, Lucknow"
Dobaraa,"Cafe, Coffee, Salad, Continental, Pizza, North Indian, Asian",4.1,"₹1,700 for two",8.8 km,"Phoenix Plassio Mall, Lucknow"
Mr. Brown - Danbro,"Bakery, Desserts, Pizza, Fast Food, Street Food, Beverages",4.2,₹500 for two,4.1 km,"Aliganj, Lucknow"
Shri Balaji Dhaba,"South Indian, Chinese, North Indian, Fast Food, Street Food, Biryani",3.9,₹300 for two,10.3 km,"Transport Nagar, Lucknow"
Bellezza,"North Indian, Chinese, Mughlai, Biryani, Salad, Shake, Beverages",-,"₹1,000 for two",7.9 km,"Gomti Nagar, Lucknow"
Chicago Pizza,"Pizza, Pasta, Fast Food, Beverages",-,₹400 for two,7.1 km,"Gomti Nagar, Lucknow"
Pizza Pool,"Pizza, Fast Food, Burger, Pasta",4.2,₹300 for two,7.1 km,"Rajajipuram, Lucknow"
The Drowning Street,"North Indian, Chinese, Continental, Fast Food, Desserts, Beverages",4.3,"₹1,700 for two",6.2 km,"Gomti Nagar, Lucknow"
Distillery,"North Indian, Chinese, Italian, Street Food, BBQ, Finger Food, Desserts, Beverages",4.1,"₹1,900 for two",6 km,"Summit Building, Gomti Nagar, Lucknow"
Chow & Fit Meals,"Chinese, Healthy Food",3.4,₹300 for two,6.1 km,"Gomti Nagar, Lucknow"
Black Town Cafe,Chinese,-,₹500 for two,10.7 km,"Gomti Nagar, Lucknow"
Cakes 555,"Bakery, Pizza, Sandwich, Burger, Beverages",3.8,₹250 for two,8.3 km,"Gomti Nagar, Lucknow"
Purvanchal Handi Hut - Ashiyana,"North Indian, Mughlai, Bihari, Biryani, Rolls, Fast Food, Desserts",-,₹350 for two,9.5 km,"Aashiana, Lucknow"
Burger King,"Burger, Fast Food, Desserts, Beverages",4.5,₹350 for two,9 km,"Phoenix United Mall, Alambagh, Lucknow"
ZAO,"Asian, Chinese, Japanese, Korean, Thai, Sushi, Sichuan, Desserts",4.8,"₹1,800 for two",6 km,"Cyber Heights, Gomti Nagar, Lucknow"
Olivas Pizzeria,"Pizza, Italian, Fast Food, Beverages",4.4,₹950 for two,4.6 km,"Gomti Nagar, Lucknow"
Balaji Ka Dhaba,"North Indian, South Indian",3.9,₹350 for two,6.9 km,"Alambagh, Lucknow"
Lord of the Drinks,"North Indian, Chinese, Continental, Pizza, Pasta",4.5,"₹2,500 for two",1.9 km,"Nirala Nagar, Lucknow"
The Fancave,"Cafe, Continental, Fast Food, Healthy Food, Tex-Mex, Italian, Mexican, Desserts",4.9,"₹1,300 for two",10.4 km,"Gomti Nagar, Lucknow"
Romeo Lane,"Chinese, Biryani, Italian, North Indian, Asian, Oriental, Desserts, Beverages",New,"₹1,900 for two",6.1 km,"Gomti Nagar, Lucknow"
Legend Inn,"North Indian, South Indian, Chinese, Pizza, Momos, Mughlai, Fast Food, Salad",4.3,"₹1,200 for two",7.3 km,"Gomti Nagar, Lucknow"
On High - Hotel Silvete,"North Indian, Chinese, Biryani, Mughlai, Italian, Continental, Desserts, Beverages",4.3,"₹1,800 for two",1 km,"Hazratganj, Lucknow"
Spice Caves,"North Indian, Chinese, Mughlai, BBQ, Sichuan, Biryani, Fast Food, Ice Cream",4.3,"₹1,700 for two",4.9 km,"Gomti Nagar, Lucknow"
Awadh Grill,"North Indian, Roast Chicken, Burger, Wraps, Fast Food, Beverages",3.9,"₹1,200 for two",6 km,"Gomti Nagar, Lucknow"
Lord of The Drinks,"North Indian, Chinese, Continental, Pizza, Pasta, Fast Food, Beverages",4.4,"₹3,000 for two",6.2 km,"Gomti Nagar, Lucknow"
Keventers - Milkshakes & Desserts,"Beverages, Shake",3.9,₹350 for two,1.2 km,"Hazratganj, Lucknow"
Leto,"Sushi, Sandwich, Salad, European, Coffee, Japanese, Italian, Beverages",-,"₹1,400 for two",3.7 km,"Aliganj, Lucknow"
Crunch Patty,"Cafe, Coffee, Fast Food, Pizza, Sandwich, Beverages",-,₹500 for two,6.1 km,"Jankipuram, Lucknow"
Butter Story,"Bakery, Pasta, Italian, Wraps, Sandwich, Desserts, Beverages",3.4,₹350 for two,2.3 km,"Aliganj, Lucknow"
Pizza Hut,"Pizza, Pasta, Italian, Desserts, Beverages",3.6,₹600 for two,1.3 km,"Mahanagar, Lucknow"
Highway Food's,"North Indian, Mughlai, Chinese, Fast Food, Shake, Street Food",3.2,₹500 for two,6.5 km,"Gomti Nagar, Lucknow"
Mocha,"Italian, Continental, North Indian, Fast Food, Desserts, Beverages",4.4,"₹1,800 for two",5.2 km,"Anand Plaza, Patkapuram, Gomti Nagar, Lucknow"
The Pizza House,"Pizza, Fast Food, Street Food, Shake",3.9,₹300 for two,7.9 km,"Chowk, Lucknow"
Pirates of Grill,"North Indian, BBQ, Chinese, Asian, Mughlai, Salad, Oriental, Desserts",4.6,"₹2,500 for two",6 km,"Cyber Heights, Gomti Nagar, Lucknow"
Tonique Bistro & Bar,"North Indian, Mughlai, Italian, Asian, Fast Food, Biryani, Bar Food, Desserts",3.9,"₹1,800 for two",5.2 km,"Phoenix Plassio Mall, Lucknow"
