Restaurent name,Cuisine types,Rating,Price,Distance,Location,what_people_like_about_us,textual_features
Piazza Pizza By Little Italy,Pizza,3.9,100.0,2.5,"Tajganj, Agra","Flavorful Creations, Local Sourcing, Courteous Staff","Pizza Flavorful Creations, Local Sourcing, Courteous Staff"
Marleys  The Milkshake,"Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich",3.7,200.0,3.7,"Tajganj, Agra","Cafe, Satisfying Portions, Warm Atmosphere","Beverages, Desserts, Ice Cream, Shake, Burger, Sandwich Cafe, Satisfying Portions, Warm Atmosphere"
Molecule Air Bar,"North Indian, Chinese, Continental, Italian",4.6,1000.0,4.8,"Tajganj, Agra","Local Sourcing, Inviting Decor, Memorable Experience","North Indian, Chinese, Continental, Italian Local Sourcing, Inviting Decor, Memorable Experience"
The Salt Cafe Kitchen & Bar,"North Indian, Continental, Chinese, Italian, Finger Food",4.9,900.0,3.8,"Tajganj, Agra","Friendly Staff, Variety of Beer, Warm Atmosphere","North Indian, Continental, Chinese, Italian, Finger Food Friendly Staff, Variety of Beer, Warm Atmosphere"
Palm Burj,"North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts",4.5,1100.0,1.9,"Rakabganj, Agra","Ambience, Weekend Brunch, Quantity","North Indian, Chinese, Continental, Sushi, Sichuan, Beverages, Desserts Ambience, Weekend Brunch, Quantity"
Unplugged Courtyard,"Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee",4.4,800.0,4.8,"Tajganj, Agra","Authentic Flavors, Exquisite Taste, Perfect Place","Mediterranean, North Indian, Continental, Chinese, Mexican, Thai, Italian, Coffee Authentic Flavors, Exquisite Taste, Perfect Place"
Hichkee,"Continental, North Indian, Chinese",4.2,850.0,1.2,"Civil Lines, Agra","Hospitality, Quantity, Customizable Dishes","Continental, North Indian, Chinese Hospitality, Quantity, Customizable Dishes"
The Numberdaars,"Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages",4.0,400.0,6.8,"Sikandra, Agra","Courteous Staff, Staff, Local Sourcing","Chinese, North Indian, Biryani, Mughlai, Kebab, Salad, Desserts, Beverages Courteous Staff, Staff, Local Sourcing"
Barbeque Nation,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts",4.4,775.0,2.5,"Civil Lines, Agra","Authentic Flavors, Exquisite Taste, Delicious Food","North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts Authentic Flavors, Exquisite Taste, Delicious Food"
The Nawaabs,"Mughlai, North Indian, Biryani, Kebab, Beverages",4.3,550.0,2.7,"Tajganj, Agra","Sustainable Practices, Peaceful Ambience, Good Bartenders","Mughlai, North Indian, Biryani, Kebab, Beverages Sustainable Practices, Peaceful Ambience, Good Bartenders"
Oasis - Radisson Hotel Agra,"North Indian, Continental, Beverages",4.1,1350.0,4.1,"Radisson Hotel Agra, Tajganj, Agra","Creative Cuisine, Weekend Brunch, Ambience","North Indian, Continental, Beverages Creative Cuisine, Weekend Brunch, Ambience"
Biryani By Kilo,"Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",4.4,500.0,3.0,"Civil Lines, Agra","Clean Environment, Great Service, Peaceful Ambience","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts Clean Environment, Great Service, Peaceful Ambience"
Masala Bistro,"Chinese, North Indian, Rolls, Kebab, Fast Food",3.7,175.0,2.8,"Tajganj, Agra","Comfortable Seating, Warm Atmosphere, Variety of Beer","Chinese, North Indian, Rolls, Kebab, Fast Food Comfortable Seating, Warm Atmosphere, Variety of Beer"
Cafe G - Holiday Inn,"North Indian, Continental, South Indian, Chinese, Asian, Italian",4.4,1500.0,2.6,"Civil Lines, Agra","Diverse Menu, Perfect Place, Great for Dates","North Indian, Continental, South Indian, Chinese, Asian, Italian Diverse Menu, Perfect Place, Great for Dates"
Downtown Cafe,"North Indian, Mughlai, Continental, Chinese, Beverages, Desserts",4.9,800.0,1.4,"Rakabganj, Agra","Young Crowd, Breakfast, Quantity","North Indian, Mughlai, Continental, Chinese, Beverages, Desserts Young Crowd, Breakfast, Quantity"
Pinch Of Spice,"North Indian, Chinese, Continental, Desserts, Beverages, Mughlai",4.5,800.0,3.2,"Tajganj, Agra","Extensive Mocktail Menu, Great for Dates, Seasonal Menu","North Indian, Chinese, Continental, Desserts, Beverages, Mughlai Extensive Mocktail Menu, Great for Dates, Seasonal Menu"
Cosmos Cafe & Bar - Fairfield By Marriott,"Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.4,1200.0,2.6,"Civil Lines, Agra","Main Course, Ambiance, Perfect Place","Continental, North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages Main Course, Ambiance, Perfect Place"
My Bar Headquarters,"North Indian, Chinese, Pizza, Fast Food, Desserts",3.374251,600.0,3.1,"Khandari, Agra","Fresh Ingredients, Trendy Setting, Sophisticated","North Indian, Chinese, Pizza, Fast Food, Desserts Fresh Ingredients, Trendy Setting, Sophisticated"
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,3000.0,3.2,"ITC Mughal, Tajganj, Agra","Weekend Brunch, Great Service, Friendly Staff","North Indian, Mughlai Weekend Brunch, Great Service, Friendly Staff"
Pind Balluchi,"North Indian, Mughlai, Chinese, Desserts",3.9,550.0,3.6,"Tajganj, Agra","Perfect Place, Great Service, Cozy Ambiance","North Indian, Mughlai, Chinese, Desserts Perfect Place, Great Service, Cozy Ambiance"
